application_name,date,time_stamp,server_name,cpu_usage,memory_usage,disk_io,network_in,network_out,response_time_ms,error_rate,requests_per_minute
EquityInsight,2025-05-30,11:31:55,srv-cache01,18.7,4428.38,6.46,48.27,92.36,317.92,1.059,5199
OptionMaster,2025-05-30,11:41:55,srv-db02,86.08,13249.27,2.89,13.09,79.46,875.93,4.789,6347
LoanLogic,2025-05-30,11:51:55,srv-cache01,66.41,15015.19,48.35,8.88,20.87,695.45,4.224,1927
TradeStream,2025-05-30,12:01:55,srv-db02,94.88,5635.82,69.81,75.48,26.43,361.29,3.422,9162
FinTransact,2025-05-30,12:11:55,srv-web01,82.7,3921.28,68.54,36.69,55.64,818.94,4.002,3433
StockTraderPro,2025-05-30,12:21:55,srv-db01,11.01,1997.77,2.27,84.03,99.52,274.79,2.917,7655
CryptoFlow,2025-05-30,12:31:55,srv-db02,15.53,923.36,36.52,30.5,84.62,492.83,3.735,5135
ForexPulse,2025-05-30,12:41:55,srv-db02,45.67,9486.93,61.31,66.86,15.95,292.14,0.475,3201
RiskGuardian,2025-05-30,12:51:55,srv-db01,30.41,6720.05,30.57,16.95,92.48,783.15,3.112,1674
TradeStream,2025-05-30,13:01:55,srv-app02,75.93,8299.87,59.14,26.45,13.23,679.54,3.088,9999
StockTraderPro,2025-05-30,13:11:55,srv-db01,87.01,7444.79,15.21,60.7,72.22,397.07,3.695,3359
TradeStream,2025-05-30,13:21:55,srv-app01,53.97,13650.52,89.22,75.23,82.75,410.15,2.223,5500
EquityInsight,2025-05-30,13:31:55,srv-app01,26.37,14258.31,52.79,40.5,85.47,54.85,0.016,4013
PortfolioPro,2025-05-30,13:41:55,srv-app02,93.15,629.83,28.97,45.51,6.29,201.39,3.01,7566
EquityInsight,2025-05-30,13:51:55,srv-cache01,83.93,8238.73,12.58,60.5,81.44,633.73,0.199,3009
StockTraderPro,2025-05-30,14:01:55,srv-app01,54.79,13413.35,26.81,38.73,49.6,256.99,4.671,9621
ForexPulse,2025-05-30,14:11:55,srv-db02,10.3,8043.32,96.79,46.31,32.67,910.69,4.451,5123
RiskGuardian,2025-05-30,14:21:55,srv-app01,67.3,1213.06,89.38,98.29,90.78,216.08,1.578,9691
MarketAnalyzer,2025-05-30,14:31:55,srv-db01,16.16,16360.04,76.67,97.82,91.38,596.21,4.145,2174
ForexPulse,2025-05-30,14:41:55,srv-app01,53.55,16199.27,28.26,40.69,46.34,137.45,4.506,3633
OptionMaster,2025-05-30,14:51:55,srv-web01,38.68,12734.68,70.96,6.38,1.6,667.42,1.848,7162
ForexPulse,2025-05-30,15:01:55,srv-db02,38.15,14713.89,72.86,99.34,53.21,529.72,0.252,9777
EquityInsight,2025-05-30,15:11:55,srv-db02,92.04,6000.91,47.28,84.57,39.13,318.71,0.394,9661
MarketAnalyzer,2025-05-30,15:21:55,srv-db02,21.16,10445.61,86.83,31.19,59.89,801.27,2.397,8323
TradeStream,2025-05-30,15:31:55,srv-db02,34.75,15323.14,35.57,91.09,13.59,883.29,1.605,5948
EquityInsight,2025-05-30,15:41:55,srv-db01,68.23,15674.18,19.37,67.65,39.35,541.69,4.722,4992
ForexPulse,2025-05-30,15:51:55,srv-app02,34.02,9073.86,64.84,95.33,8.23,626.57,3.883,1654
TradeStream,2025-05-30,16:01:55,srv-db01,43.62,14510.38,98.36,25.6,77.33,492.23,0.691,3882
FinTransact,2025-05-30,16:11:55,srv-app02,40.43,13277.12,99.72,69.32,45.77,72.42,2.007,5691
PortfolioPro,2025-05-30,16:21:55,srv-app02,43.98,4420.55,63.69,18.45,82.62,702.99,3.878,2666
TradeStream,2025-05-30,16:31:55,srv-db02,13.15,1268.37,10.27,50.64,86.83,622.23,0.066,6182
LoanLogic,2025-05-30,16:41:55,srv-db02,54.63,14864.73,79.21,30.33,82.5,765.56,2.207,2035
BondWatch,2025-05-30,16:51:55,srv-db02,43.66,1729.93,80.05,59.48,37.79,901.11,2.963,3321
StockTraderPro,2025-05-30,17:01:55,srv-cache01,51.06,16326.85,89.28,54.69,23.0,918.37,0.725,6198
RiskGuardian,2025-05-30,17:11:55,srv-cache01,26.83,7541.16,34.79,39.85,87.24,908.82,2.58,325
MarketAnalyzer,2025-05-30,17:21:55,srv-web01,43.58,10088.61,44.42,12.28,71.28,886.17,0.413,3193
MarketAnalyzer,2025-05-30,17:31:55,srv-cache01,56.27,6622.92,97.55,46.05,88.97,908.12,2.506,2352
RiskGuardian,2025-05-30,17:41:55,srv-db01,14.38,1423.2,83.59,77.15,16.67,126.87,4.065,7280
LoanLogic,2025-05-30,17:51:55,srv-app02,52.75,3434.86,93.29,37.1,50.55,69.17,3.411,5015
TradeStream,2025-05-30,18:01:55,srv-app02,51.5,4856.04,60.25,27.56,64.41,288.64,1.42,5664
TradeStream,2025-05-30,18:11:55,srv-cache01,94.91,4679.98,6.78,44.5,38.15,603.91,2.422,9998
BondWatch,2025-05-30,18:21:55,srv-app01,18.12,14356.11,58.7,43.07,24.02,691.05,2.899,6620
EquityInsight,2025-05-30,18:31:55,srv-db01,30.3,9612.66,38.2,59.0,95.05,741.6,0.632,9505
PortfolioPro,2025-05-30,18:41:55,srv-app01,73.93,879.18,40.81,51.27,18.04,783.37,3.156,4826
BondWatch,2025-05-30,18:51:55,srv-web01,71.26,14200.43,44.0,10.66,69.76,51.67,0.546,4867
ForexPulse,2025-05-30,19:01:55,srv-cache01,93.11,3881.25,40.47,91.64,87.62,402.68,1.685,4062
EquityInsight,2025-05-30,19:11:55,srv-db01,34.2,15814.06,41.44,79.63,68.21,72.78,2.01,9174
FinTransact,2025-05-30,19:21:55,srv-web01,27.54,6183.54,46.41,66.61,93.04,797.43,4.126,9593
BondWatch,2025-05-30,19:31:55,srv-cache01,94.44,4676.37,90.05,66.55,17.26,865.3,3.411,7255
ForexPulse,2025-05-30,19:41:55,srv-app02,40.08,4450.69,60.45,89.7,31.36,651.07,4.034,8647
ForexPulse,2025-05-30,19:51:55,srv-db01,56.19,16164.49,72.33,61.67,10.64,340.38,4.935,3502
CryptoFlow,2025-05-30,20:01:55,srv-app02,53.8,4526.64,92.66,25.91,83.15,242.69,1.867,3970
ForexPulse,2025-05-30,20:11:55,srv-web01,40.09,6346.8,97.95,16.77,82.03,636.28,4.317,5701
StockTraderPro,2025-05-30,20:21:55,srv-db01,71.41,12120.72,15.73,77.27,41.26,835.93,1.554,9445
EquityInsight,2025-05-30,20:31:55,srv-app02,71.06,11044.25,93.82,59.37,77.9,433.64,3.26,576
RiskGuardian,2025-05-30,20:41:55,srv-app02,22.87,6323.55,85.23,69.58,56.63,71.49,2.17,9582
BondWatch,2025-05-30,20:51:55,srv-app01,27.13,13854.89,65.57,96.03,97.5,67.09,2.134,4194
MarketAnalyzer,2025-05-30,21:01:55,srv-db01,64.44,11012.37,83.09,2.12,31.55,115.65,1.336,481
CryptoFlow,2025-05-30,21:11:55,srv-app02,12.69,1394.23,68.79,35.49,85.99,322.14,2.124,9238
FinTransact,2025-05-30,21:21:55,srv-cache01,30.77,4272.63,96.17,19.37,56.5,978.7,1.682,1910
OptionMaster,2025-05-30,21:31:55,srv-db02,60.49,4056.34,65.4,73.85,30.92,421.81,0.133,2893
BondWatch,2025-05-30,21:41:55,srv-web01,90.7,14455.34,53.7,81.54,44.38,720.45,3.767,3273
StockTraderPro,2025-05-30,21:51:55,srv-web01,92.59,1044.03,30.14,12.87,61.84,925.13,2.199,1564
BondWatch,2025-05-30,22:01:55,srv-db01,15.04,12114.16,81.68,40.98,42.84,480.22,1.83,1315
TradeStream,2025-05-30,22:11:55,srv-db01,74.24,12881.35,86.48,19.53,50.68,966.11,1.481,8752
FinTransact,2025-05-30,22:21:55,srv-cache01,58.7,7320.56,54.25,26.4,25.71,854.23,2.021,5735
RiskGuardian,2025-05-30,22:31:55,srv-web01,92.82,10949.55,20.1,87.72,2.03,596.54,1.866,1505
TradeStream,2025-05-30,22:41:55,srv-db01,47.07,4290.06,68.68,32.38,96.61,312.43,1.426,110
StockTraderPro,2025-05-30,22:51:55,srv-db02,33.75,2381.14,89.63,37.03,60.46,412.88,3.17,9717
PortfolioPro,2025-05-30,23:01:55,srv-app01,67.48,12149.89,25.15,71.14,19.61,622.45,2.867,8447
CryptoFlow,2025-05-30,23:11:55,srv-app02,20.32,4439.62,29.85,23.72,88.54,784.64,3.462,3310
BondWatch,2025-05-30,23:21:55,srv-db01,86.97,8454.32,71.57,28.14,73.61,725.92,2.712,9156
BondWatch,2025-05-30,23:31:55,srv-app02,42.66,3568.84,3.67,83.02,29.04,251.43,2.302,9772
ForexPulse,2025-05-30,23:41:55,srv-app02,39.36,14315.48,16.44,94.48,54.96,219.09,4.975,869
EquityInsight,2025-05-30,23:51:55,srv-db02,24.03,14448.55,82.64,96.01,88.23,838.66,2.271,3356
EquityInsight,2025-05-31,00:01:55,srv-app01,48.69,5251.32,22.27,44.19,12.65,71.92,4.92,828
ForexPulse,2025-05-31,00:11:55,srv-db02,40.42,13850.38,33.98,66.46,77.24,134.33,3.187,1575
BondWatch,2025-05-31,00:21:55,srv-db02,31.78,15458.33,80.81,42.23,71.95,178.21,3.72,2745
PortfolioPro,2025-05-31,00:31:55,srv-web01,11.63,3170.52,34.05,32.98,93.64,829.02,3.984,2217
FinTransact,2025-05-31,00:41:55,srv-db02,30.1,15413.39,96.97,54.45,26.39,151.45,2.991,8056
OptionMaster,2025-05-31,00:51:55,srv-db01,37.36,1851.24,72.57,61.04,70.65,932.0,2.622,4915
RiskGuardian,2025-05-31,01:01:55,srv-db01,62.33,15168.86,50.94,78.94,39.96,399.13,0.537,2925
ForexPulse,2025-05-31,01:11:55,srv-db02,52.35,4041.65,80.83,86.63,35.67,284.37,3.65,926
EquityInsight,2025-05-31,01:21:55,srv-db01,88.87,4459.27,91.96,60.49,90.97,742.95,0.223,6247
CryptoFlow,2025-05-31,01:31:55,srv-app01,57.53,11414.3,29.07,14.69,97.89,182.65,4.264,2449
FinTransact,2025-05-31,01:41:55,srv-db01,93.08,9985.22,5.7,30.76,93.69,575.51,0.175,502
FinTransact,2025-05-31,01:51:55,srv-db02,85.57,11522.08,23.9,49.54,3.13,962.4,1.938,1578
TradeStream,2025-05-31,02:01:55,srv-db01,53.16,6169.7,0.37,91.77,12.05,754.35,0.668,9212
EquityInsight,2025-05-31,02:11:55,srv-app01,10.21,8047.25,39.97,84.87,95.97,191.41,4.028,7024
RiskGuardian,2025-05-31,02:21:55,srv-db02,24.82,7995.91,28.23,47.12,30.03,344.65,4.844,5700
FinTransact,2025-05-31,02:31:55,srv-app02,54.2,7323.67,45.24,64.02,81.89,882.65,1.731,2790
EquityInsight,2025-05-31,02:41:55,srv-app01,54.13,12171.52,68.38,8.31,83.47,328.69,2.212,8368
LoanLogic,2025-05-31,02:51:55,srv-web01,94.26,7271.9,27.14,56.69,9.58,115.55,3.178,8897
RiskGuardian,2025-05-31,03:01:55,srv-db02,85.37,11829.79,72.73,37.15,56.15,159.96,0.137,7033
BondWatch,2025-05-31,03:11:55,srv-app02,22.79,4237.92,54.81,53.61,95.37,854.33,1.559,2040
ForexPulse,2025-05-31,03:21:55,srv-db01,89.23,5263.26,61.22,62.0,0.59,402.72,1.375,2947
ForexPulse,2025-05-31,03:31:55,srv-cache01,37.63,14169.95,83.76,37.55,89.77,870.97,3.502,8789
ForexPulse,2025-05-31,03:41:55,srv-db02,40.73,11345.1,64.37,29.04,72.58,995.08,0.74,8209
MarketAnalyzer,2025-05-31,03:51:55,srv-app01,67.8,12984.63,66.73,16.03,58.29,971.11,4.157,115
MarketAnalyzer,2025-05-31,04:01:55,srv-app02,27.18,2109.34,24.51,14.96,22.96,628.78,0.446,4570
CryptoFlow,2025-05-31,04:11:55,srv-app02,27.77,951.77,79.98,86.97,74.48,436.57,2.993,7362
RiskGuardian,2025-05-31,04:21:55,srv-db01,35.64,2985.57,10.42,97.22,47.11,963.41,0.348,9339
RiskGuardian,2025-05-31,04:31:55,srv-app02,23.83,4039.76,12.87,14.43,14.33,559.09,3.266,9748
RiskGuardian,2025-05-31,04:41:55,srv-web01,14.42,14606.98,69.61,42.3,8.32,240.02,1.645,6843
BondWatch,2025-05-31,04:51:55,srv-db02,31.45,1962.75,2.91,13.07,39.69,298.72,0.245,2169
MarketAnalyzer,2025-05-31,05:01:55,srv-db01,35.09,10105.21,18.94,71.97,95.91,327.45,3.358,6814
ForexPulse,2025-05-31,05:11:55,srv-db01,40.52,6214.02,5.81,18.59,68.74,375.78,3.765,2586
BondWatch,2025-05-31,05:21:55,srv-web01,91.7,7952.52,96.85,65.51,69.47,218.01,1.937,8052
FinTransact,2025-05-31,05:31:55,srv-app01,58.94,14212.13,75.14,53.15,85.66,916.27,1.471,246
RiskGuardian,2025-05-31,05:41:55,srv-app01,64.2,3634.56,99.9,79.35,90.53,631.33,1.368,777
PortfolioPro,2025-05-31,05:51:55,srv-db01,75.51,2174.93,75.7,63.12,33.72,263.55,0.786,4437
MarketAnalyzer,2025-05-31,06:01:55,srv-db02,63.24,12886.52,14.44,93.98,83.96,690.12,4.257,6752
CryptoFlow,2025-05-31,06:11:55,srv-cache01,53.28,6548.3,7.87,62.96,84.93,432.37,2.66,608
StockTraderPro,2025-05-31,06:21:55,srv-app02,65.89,9173.72,22.13,75.53,25.23,493.19,0.433,4238
OptionMaster,2025-05-31,06:31:55,srv-db02,71.34,5682.48,33.08,2.62,3.13,857.93,0.707,5522
StockTraderPro,2025-05-31,06:41:55,srv-db02,32.23,2209.73,76.09,14.36,25.12,732.54,4.971,6411
TradeStream,2025-05-31,06:51:55,srv-web01,61.98,11957.43,68.45,45.72,24.92,560.13,0.858,450
PortfolioPro,2025-05-31,07:01:55,srv-app02,58.07,16108.78,99.42,71.83,97.31,410.94,2.856,3967
LoanLogic,2025-05-31,07:11:55,srv-app01,71.14,14803.31,50.46,74.89,91.79,311.21,2.387,4598
MarketAnalyzer,2025-05-31,07:21:55,srv-web01,49.39,4489.56,56.3,82.32,12.66,933.73,1.598,1397
LoanLogic,2025-05-31,07:31:55,srv-cache01,40.48,6082.36,48.36,18.98,33.4,879.37,2.991,3591
LoanLogic,2025-05-31,07:41:55,srv-cache01,83.01,2900.68,86.32,25.01,78.52,278.93,3.486,3273
StockTraderPro,2025-05-31,07:51:55,srv-app01,60.36,15349.92,43.49,54.96,76.4,176.93,4.728,6895
PortfolioPro,2025-05-31,08:01:55,srv-cache01,39.76,1673.65,31.57,78.7,93.44,329.71,3.06,9510
CryptoFlow,2025-05-31,08:11:55,srv-db01,23.72,3040.09,40.08,35.55,46.47,336.73,4.422,4143
LoanLogic,2025-05-31,08:21:55,srv-cache01,22.24,3389.1,33.76,5.41,8.11,717.58,0.077,5402
